audio_file|text|speaker_name
wavs/yang_00000000.wav|자 한번 가보도록 합시다 제가 오늘 할 컨텐츠 시청자 랜선 집들이 시청자들의 방 구경을 이제부터 할건데 이걸 왜 하느냐 뭐 옛날부터 꾸준히 제 방을 보고 더럽다 하시는 분들이 너무나 많기 때문에 예..|coqui
wavs/yang_00000001.wav|이번에 트수들의 그 시청자들의 방을 한번 보고자 하..|coqui
wavs/yang_00000002.wav|게시판을 열게 되었습니다 한번 카페 살펴볼까요?|coqui
wavs/yang_00000003.wav|저번에는 물건 자랑을 했었는데 이번에는 방 자랑으로 한번 가볼게요 좀..|coqui
wavs/yang_00000004.wav|첫 빠따 아무래도 첫 번째 게시판부터 봐야겠죠?|coqui
wavs/yang_00000005.wav|첫 빠따라고... 근데 이게 내 방이랑 별 다를 거 없지 않나?|coqui
wavs/yang_00000006.wav|깔끔하다고요 이게?|coqui
wavs/yang_00000007.wav|내 방이랑 별 다를 거 없지 않아?|coqui
wavs/yang_00000010.wav|모니터가 세 개요?|coqui
wavs/yang_00000011.wav|근데 모니터 일반인분들은 세 개 잘 안 쓰시지 않나 일단 저는 방송 방에 원래 삼개가 있거든요 모니터가 신기하네 다음 방 아 방 정... 쓰레기 좀 치우라고 아니 쓰레기잖아 이건 아니 돼지 우리야 뭐야 이거 아 어허 내 방이 좀 선녀같다 내 방이 좀 선녀같다 이거 밥솥은 왜 있어?|coqui
wavs/yang_00000012.wav|이거 밥솥 맞죠?|coqui
wavs/yang_00000013.wav|청소기는 왜 있어 청소 안 할 건데 아니 청소 안 할 건데 청소기 왜 있냐고요 아 원룸인가?|coqui
wavs/yang_00000014.wav|아 그럴 수도 있겠다 그 와중에 쓰레기 봉투 안에 삼양라면 있네요 자 다음 한번 보겠습니다 어?|coqui
wavs/yang_00000015.wav|뭐야 방 자랑 왜 이렇게 깔끔해?|coqui
wavs/yang_00000016.wav|뭐야?|coqui
wavs/yang_00000017.wav|양아치님보단 깔끔... 넘길게요 진짜 모니터가 좀 더러운데요 오 뭐야 컴퓨터 반짝반짝해 이게 약간 다들 컴퓨터로 방송 보시나?|coqui
wavs/yang_00000018.wav|컴퓨터가 꼭 있네 다음 화성 갈 거니까 와 이거 봐 헤드셋 걸이를 옷걸이 꺾어가지고 하신 거 같은데 그쵸?|coqui
wavs/yang_00000019.wav|헤드셋걸이를 옷걸이를 좀 꺾어가지고 하셨네 만드신 거예요 직접?|coqui
